key,place,state,latitude,longitude
IN/670014,Chalad,Kerala,12.05,75.2667
IN/670102,Temple Gate,Kerala,12.05,75.35
IN/670106,Dharmadom,Kerala,12.05,75.35
IN/670109,Vadakkumbad Edso,Kerala,12.05,75.35
IN/670141,Taliparamba,Kerala,12.05,75.35
IN/670301,Othayammadam B.O,Kerala,12.05,75.1833
IN/670304,Madayi,Kerala,12.05,75.1833
IN/670306,Olayambadi B.O,Kerala,12.05,75.1833
IN/670307,Chalakkod B.O,Kerala,12.05,75.1833
IN/670308,Ramantali,Kerala,12.05,75.1833
IN/670327,Edat,Kerala,12.05,75.1833
IN/670330,Vadakkumbad-Ramanthali,Kerala,12.05,75.1833
IN/670501,Kadannapally B.O,Kerala,12.05,75.2667
IN/670511,Edavaramba B.O,Kerala,12.05,75.2667
IN/670563,Nanicheri B.O,Kerala,12.05,75.2667
IN/670571,Udayagiri B.O,Kerala,12.05,75.2667
IN/670581,Thadikadavu B.O,Kerala,12.05,75.2667
IN/670582,Naduvil,Kerala,12.05,75.2667
IN/670591,Eachur,Kerala,12.05,75.2667
IN/670595,Edayannur,Kerala,12.05,75.2667
IN/670614,Iriveri Edso,Kerala,12.05,75.2667
IN/670621,Kadachira,Kerala,12.05,75.2667
IN/670622,Bavode B.O.,Kerala,12.05,75.2667
IN/670631,Malapattam B.O,Kerala,12.05,75.2667
IN/670633,Chandanakampara B.O,Kerala,12.05,75.2667
IN/670643,Pachapoika B.O,Kerala,12.05,75.2667
IN/670644,Tavinhal B.O,Kerala,12.05,75.2667
IN/670645,Edavaka B.O,Kerala,12.05,75.2667
IN/670646,Bavali B.O,Kerala,12.05,75.2667
IN/670649,Ummanchira,Kerala,12.05,75.2667
IN/670650,Alacherry B.O,Kerala,12.05,75.2667
IN/670663,Kadambur Ward Ii B.O,Kerala,12.05,75.2667
IN/670674,Adakkathodu B.O,Kerala,12.05,75.2667
IN/670676,Kadavathur,Kerala,12.05,75.2667
IN/670694,Champad,Kerala,12.05,75.2667
IN/670702,Uliyil B.O,Kerala,12.05,75.2667
IN/670703,Padiyur Cannanore B.O,Kerala,12.05,75.2667
IN/670704,Edapuzha B.O,Kerala,12.05,75.2667
IN/670705,Ulikkal,Kerala,12.05,75.2667
IN/670706,Ramdaakadavu B.O,Kerala,12.05,75.2667
IN/670721,Nadavayal B.O,Kerala,12.05,75.2667
IN/670731,Makkaid B.O,Kerala,12.05,75.2667
IN/671121,Adakathbail B.O,Kerala,12.5417,74.975
IN/671122,Talangara,Kerala,12.5417,74.975
IN/671123,Alampadi B.O,Kerala,12.5417,74.975
IN/671124,Badradka B.O,Kerala,12.5417,74.975
IN/671125,Ramdas Nagar,Kerala,12.5417,74.975
IN/671312,Padne,Kerala,12.4,75.05
IN/671314,Thaikadapuram B.O,Kerala,12.4,75.05
IN/671316,Pakkom B.O,Kerala,12.4,75.05
IN/671317,Chandragiri Edso,Kerala,12.4,75.05
IN/671318,Bekal,Kerala,12.4,75.05
IN/671319,Udma,Kerala,12.4,75.05
IN/671320,Chamnad,Kerala,12.6833,74.9
IN/671321,Shiriya B.O,Kerala,12.6833,74.9
IN/671322,Uppala,Kerala,12.6833,74.9
IN/671323,Kadambar B.O,Kerala,12.6833,74.9
IN/671324,Heroor B.O,Kerala,12.6833,74.9
IN/671328,Padnnakkad Edso,Kerala,12.6833,74.9
IN/671345,Padne Kadapuram Edso,Kerala,12.5417,74.975
IN/671348,Paivalike,Kerala,12.5417,74.975
IN/671349,Udinur,Kerala,12.5417,74.975
IN/671350,Udumbanthala,Kerala,12.5417,74.975
IN/671351,Achanthuruthy B.O,Kerala,12.5417,74.975
IN/671357,Edachakai B.O,Kerala,12.5417,74.975
IN/671531,Ajanur B.O,Kerala,12.5417,74.975
IN/671532,Rajapuram,Kerala,12.5417,74.975
IN/671533,Darkas B.O,Kerala,12.5417,74.975
IN/671541,Bedadka B.O,Kerala,12.5417,74.975
IN/671542,Iriyanni B.O,Kerala,12.5417,74.975
IN/671543,Adur B.O,Kerala,12.5417,74.975
IN/671552,Padre B.O,Kerala,12.5417,74.975
IN/673001,Calicut,Kerala,11.25,75.7667
IN/673002,Chalapuram,Kerala,11.25,75.7667
IN/673005,West Hill Chungam B.O,Kerala,11.25,75.7667
IN/673008,Calicut Medical College,Kerala,11.25,75.7667
IN/673009,Malaparamba,Kerala,11.25,75.7667
IN/673011,Nadakavu,Kerala,11.1833,75.8167
IN/673014,Guruvayurappan College,Kerala,11.1833,75.8167
IN/673015,Beypore,Kerala,11.1833,75.8167
IN/673016,Govindapuram B.O Kuthiravattom,Kerala,11.1833,75.8167
IN/673018,Calicut Art & Science College,Kerala,11.1833,75.8167
IN/673020,Calicut Civil Station,Kerala,11.2167,75.7917
IN/673025,Olavanna,Kerala,11.2167,75.7917
IN/673027,Nallalam,Kerala,11.2167,75.7917
IN/673032,Calicut Beach,Kerala,11.2167,75.7917
IN/673101,Vadakara,Kerala,11.4354,75.725
IN/673102,Rayarangoth B.O,Kerala,11.4354,75.725
IN/673103,Vadakara Beach,Kerala,11.4354,75.725
IN/673104,Sidha Smaj B.O,Kerala,11.4354,75.725
IN/673112,Nadakkuthala Edso,Kerala,11.4354,75.725
IN/673121,Madakkunnu B.O,Kerala,11.4354,75.725
IN/673301,Chaliyam,Kerala,11.15,75.8167
IN/673302,Kadalundi,Kerala,11.15,75.8167
IN/673305,Quilandy,Kerala,11.15,75.8167
IN/673308,Onchiyam B.O,Kerala,11.15,75.8167
IN/673310,Mahe,Kerala,11.7,75.5333
IN/673313,Olavilam,Kerala,11.7,75.5333
IN/673314,Kadalundi Nagaram,Kerala,11.7,75.5333
IN/673317,Talakadathur,Kerala,11.7,75.5333
IN/673320,Naluthara,Kerala,11.425,75.675
IN/673323,Ulliyeri Edso,Kerala,11.425,75.675
IN/673326,Naderi,Kerala,11.425,75.675
IN/673330,Naduvathur,Kerala,11.425,75.675
IN/673501,Orkatteri,Kerala,11.7,75.6667
IN/673502,Kachcheri B.O,Kerala,11.7,75.6667
IN/673504,Nadapuram,Kerala,11.7,75.6667
IN/673506,Indira Nagar B.O,Kerala,11.7,75.6667
IN/673507,Padiripeetta B.O,Kerala,11.7,75.6667
IN/673508,Adukkath B.O,Kerala,11.7,75.6667
IN/673513,Akkal B.O,Kerala,11.6333,75.6333
IN/673514,Iringannur Edso,Kerala,11.6333,75.6333
IN/673517,Abhayagiri B.O,Kerala,11.6333,75.6333
IN/673521,Iringal,Kerala,11.5667,75.6
IN/673523,Iringath B.O,Kerala,11.5667,75.6
IN/673525,Edavarad B.O,Kerala,11.5667,75.6
IN/673526,Chakkittapara B.O,Kerala,11.5667,75.6
IN/673571,Padanilam B.O,Kerala,11.6333,75.6333
IN/673572,Omasseri B.O,Kerala,11.6333,75.6333
IN/673573,Santhinagar B.O,Kerala,11.6333,75.6333
IN/673574,Unnikulam,Kerala,11.6333,75.6333
IN/673575,Padinjarethara B.O,Kerala,11.6333,75.6333
IN/673576,Lakkidi B.O,Kerala,11.6333,75.6333
IN/673579,Seethamount - Pulpali,Kerala,11.6333,75.6333
IN/673581,Kadalmat B.O,Kerala,11.6333,75.6333
IN/673583,Madavur Edso,Kerala,11.6333,75.6333
IN/673586,Adivaram Puthupadi B.O,Kerala,11.6333,75.6333
IN/673591,Nalketty B.O,Kerala,11.6333,75.6333
IN/673592,Chadalath B.O,Kerala,11.6333,75.6333
IN/673593,Nallarchal B.O,Kerala,11.6333,75.6333
IN/673595,Nambiarkunnu B.O,Kerala,11.6333,75.6333
IN/673601,Calicut Reg Engg College,Kerala,11.4667,75.8
IN/673612,Balusseri,Kerala,11.45,75.8333
IN/673613,Nanminda,Kerala,11.4667,75.8
IN/673614,Oravil B.O,Kerala,11.4833,75.7667
IN/673616,Irivallur B.O,Kerala,11.4667,75.8
IN/673617,Makkada Edso,Kerala,11.4667,75.8
IN/673620,Urallur B.O,Kerala,11.4667,75.8
IN/673631,Faroke,Kerala,11.4667,75.8
IN/673632,Farook College,Kerala,11.4667,75.8
IN/673633,Ramanattukara,Kerala,11.4667,75.8
IN/673635,Calicut University,Kerala,11.4667,75.8
IN/673636,Tenhipalam,Kerala,11.4667,75.8
IN/673638,Olavattur B.O,Kerala,11.4667,75.8
IN/673639,Urangattiri B.O,Kerala,11.4667,75.8
IN/673640,Omanur B.O,Kerala,11.4667,75.8
IN/673641,Tavanur Feroke B.O,Kerala,11.4667,75.8
IN/673642,Olukkur B.O,Kerala,11.4667,75.8
IN/676102,Bettathu Pudiyangadi,Kerala,11.075,76.125
IN/676103,Iringavu B.O,Kerala,11.075,76.125
IN/676105,Pachattiri B.O,Kerala,11.075,76.125
IN/676121,Kadambode Edso,Kerala,11.075,76.125
IN/676302,Tanur Malabar,Kerala,11.075,76.125
IN/676303,Ullanam B.O,Kerala,11.075,76.125
IN/676304,Iringallur Kottakkal B.O,Kerala,11.075,76.125
IN/676305,Abdulrahman Nagar,Kerala,11.075,76.125
IN/676306,Olalakkara B.O,Kerala,11.075,76.125
IN/676307,Tanalur,Kerala,11.075,76.125
IN/676320,Tayyalingal,Kerala,11.075,76.125
IN/676501,Edarikode,Kerala,11.075,76.125
IN/676503,Indianur B.O,Kerala,11.075,76.125
IN/676504,Chattiparamba B.O,Kerala,11.075,76.125
IN/676506,Padinhattumuri B.O,Kerala,11.075,76.125
IN/676507,Makkaraparamba,Kerala,11.075,76.125
IN/676510,Randathani,Kerala,11.075,76.125
IN/676513,Irimbuzhi Edso,Kerala,11.075,76.125
IN/676515,Oorakam Keezhmuri Edso,Kerala,11.075,76.125
IN/676519,Hajiarpalli B.O,Kerala,11.075,76.125
IN/676522,Edayur North B.O,Kerala,11.075,76.125
IN/676523,Iringatteri B.O,Kerala,11.075,76.125
IN/676528,Othukungal,Kerala,11.075,76.125
IN/676541,Edavanna,Kerala,11.2167,76.15
IN/676542,Vadapuram B.O,Kerala,11.2167,76.15
IN/676552,Vadakkumbram B.O,Kerala,10.9333,76.1
IN/676553,Kadampuzha,Kerala,10.9333,76.1
IN/676554,Edayur,Kerala,10.9333,76.1
IN/676562,Padinjarekara B.O Kutayi,Kerala,11.075,76.125
IN/678002,Olavakot,Kerala,10.7278,76.5944
IN/678005,Kadukkaakunnu B.O,Kerala,10.7278,76.5944
IN/678009,Dhoni B.O,Kerala,10.7278,76.5944
IN/678010,Sekahripuram,Kerala,10.7278,76.5944
IN/678012,Vadakkanthara,Kerala,10.7278,76.5944
IN/678102,Tattamangalam,Kerala,10.6833,76.7333
IN/678504,Vadavanur,Kerala,10.4833,76.7
IN/678507,Govindapuram B.O,Kerala,10.4833,76.7
IN/678509,Padagiri,Kerala,10.4833,76.7
IN/678511,Sitharkunda B.O,Kerala,10.4833,76.7
IN/678547,Tarur Edso,Kerala,10.4833,76.7
IN/678548,Padur Kavassery Edso,Kerala,10.4833,76.7
IN/678551,Olasseri B.O,Kerala,10.4833,76.7
IN/678553,Nallepilly,Kerala,10.4833,76.7
IN/678555,Ramavarmapuram Pudur B.O.,Kerala,10.4833,76.7
IN/678556,Eduppukulam B.O,Kerala,10.4833,76.7
IN/678557,Olalapadi B.O,Kerala,10.4833,76.7
IN/678571,Tachangad B.O,Kerala,10.4833,76.7
IN/678574,Naduvathupara B.O,Kerala,10.4833,76.7
IN/678575,Nannamukku,Kerala,10.4833,76.7
IN/678581,Agali,Kerala,10.4833,76.7
IN/678582,Jellipara B.O,Kerala,10.4833,76.7
IN/678592,Nambullipara B.O,Kerala,10.4833,76.7
IN/678593,Tachampara,Kerala,10.4833,76.7
IN/678601,Uppukulam B.O,Kerala,11.0167,76.35
IN/678611,Edathara,Kerala,11.0167,76.35
IN/678616,Tenur Edso,Kerala,11.0167,76.35
IN/678622,Tenari B.O,Kerala,11.0167,76.35
IN/678624,Walayar Dam,Kerala,11.0167,76.35
IN/678632,Ummanazhi B.O,Kerala,11.0167,76.35
IN/678641,Thadukkasseri B.O,Kerala,11.0167,76.35
IN/678642,Nagaripuram B.O,Kerala,11.0167,76.35
IN/678651,Malampuzha Dam,Kerala,11.0167,76.35
IN/678702,Olive Mount B.O,Kerala,10.7278,76.5944
IN/678706,Olinkadavu B.O,Kerala,10.7278,76.5944
IN/679106,South Kondazhi B.O,Kerala,10.975,76.3333
IN/679121,Shornaur,Kerala,10.975,76.3333
IN/679122,Shoranur Govt.Press,Kerala,10.975,76.3333
IN/679123,Ganeshgiri,Kerala,10.975,76.3333
IN/679124,Vadanamkurissi Edso,Kerala,10.975,76.3333
IN/679301,Lakkidi,Kerala,10.75,76.4333
IN/679302,Akalur B.O,Kerala,10.75,76.4333
IN/679303,Sankaramangalam B.O,Kerala,10.75,76.4333
IN/679308,Naduvattom,Kerala,10.75,76.4333
IN/679322,Talekode B.O,Kerala,11.2,76.2333
IN/679324,Kadannamanna B.O,Kerala,11.2,76.2333
IN/679325,Tachingandam B.O,Kerala,11.2,76.2333
IN/679326,Edayattur B.O,Kerala,11.2,76.2333
IN/679328,Wandoor,Kerala,11.2,76.2333
IN/679329,Edavanna B.O,Kerala,11.2,76.2333
IN/679330,Ramankuth B.O,Kerala,10.975,76.3333
IN/679333,Nambooripotti B.O,Kerala,10.975,76.3333
IN/679334,Padiripadam B.O,Kerala,10.975,76.3333
IN/679335,Irimbalasseri B.O,Kerala,10.975,76.3333
IN/679339,Vadakkumpadam B.O,Kerala,10.975,76.3333
IN/679342,Chandakunnu Edso,Kerala,10.975,76.3333
IN/679350,Ramapuram Edso,Kerala,10.975,76.3333
IN/679352,Talekode West Edso,Kerala,10.975,76.3333
IN/679354,Uppada Edso,Kerala,10.975,76.3333
IN/679501,Taruvakoanam B.O,Kerala,10.975,76.3333
IN/679503,Adakkaputhur B.O,Kerala,10.975,76.3333
IN/679505,Chalavara,Kerala,10.975,76.3333
IN/679515,Kadambur Pgt,Kerala,10.975,76.3333
IN/679531,Painkulam B.O,Kerala,10.975,76.3333
IN/679532,Desamangalam,Kerala,10.975,76.3333
IN/679533,Nagalasseri B.O,Kerala,10.975,76.3333
IN/679534,Mala Palaghat B.O,Kerala,10.975,76.3333
IN/679535,Chaliyattiri B.O,Kerala,10.975,76.3333
IN/679536,Chalisseri,Kerala,10.975,76.3333
IN/679537,Chathannur Edso,Kerala,10.975,76.3333
IN/679538,Thalakkasserri Edso,Kerala,10.975,76.3333
IN/679553,Malamalkavu B.O,Kerala,10.975,76.3333
IN/679562,Vadakkekad,Kerala,10.975,76.3333
IN/679572,Irimbiliyam,Kerala,10.975,76.3333
IN/679573,Tavanur,Kerala,10.975,76.3333
IN/679575,Nannamukku South B.O,Kerala,10.975,76.3333
IN/679579,Gramam B.O,Kerala,10.975,76.3333
IN/679582,Kadancherri Edso,Kerala,10.975,76.3333
IN/679586,Kadavanad B.O,Kerala,10.975,76.3333
IN/679589,Biyyam Edso,Kerala,10.975,76.3333
IN/679591,Othalur West B.O,Kerala,10.975,76.3333
IN/679592,Naduvattom Edso,Kerala,10.975,76.3333
IN/680004,West Fort B.O,Kerala,10.4267,76.2167
IN/680007,Vadukara B.O,Kerala,10.4267,76.2167
IN/680101,Guruvayur,Kerala,10.6,76.05
IN/680103,Iringapuram B.O,Kerala,10.6,76.05
IN/680104,Thaikkad,Kerala,10.6,76.05
IN/680121,Irinjalakuda,Kerala,10.3333,76.2333
IN/680122,Edathirinji,Kerala,10.3333,76.2333
IN/680125,Irinjalakuda North,Kerala,10.3333,76.2333
IN/680301,Nandikkara B.O,Kerala,10.3833,76.2917
IN/680302,Alagappa Nagar,Kerala,10.3833,76.2917
IN/680306,Ollur,Kerala,10.4667,76.2333
IN/680307,Chalakudi,Kerala,10.3,76.35
IN/680308,Nalukettu B.O,Kerala,10.3833,76.2917
IN/680312,Inchakundu B.O,Kerala,10.3833,76.2917
IN/680319,Nandipulam Edso,Kerala,10.3833,76.2917
IN/680501,Thalakottukara B.O,Kerala,10.4333,76.2167
IN/680503,Akathiyoor Edso,Kerala,10.4333,76.2167
IN/680506,Blangad B.O,Kerala,10.4333,76.2167
IN/680512,Madu B.O,Kerala,10.4333,76.2167
IN/680514,Kadappuram,Kerala,10.4333,76.2167
IN/680518,Agalad,Kerala,10.4333,76.2167
IN/680519,Akkikavu B.O,Kerala,10.4333,76.2167
IN/680522,Chakkumkandam B.O,Kerala,10.4333,76.2167
IN/680524,Padoor Chavakkad,Kerala,10.4333,76.2167
IN/680543,Kadavallur,Kerala,10.4333,76.2167
IN/680554,Adat,Kerala,10.4333,76.2167
IN/680562,Urakam,Kerala,10.4333,76.2167
IN/680569,Edasseri B.O,Kerala,10.4333,76.2167
IN/680570,Vadakkumuri,Kerala,10.4333,76.2167
IN/680582,Vadakancherry(Tcr),Kerala,10.4333,76.2167
IN/680585,Tali B.O,Kerala,10.4333,76.2167
IN/680587,Vadakethara B.O,Kerala,10.4333,76.2167
IN/680602,Nambazhikad B.O,Kerala,10.4267,76.2167
IN/680614,Naduvilkara B.O,Kerala,10.4267,76.2167
IN/680623,Vadakancherry R.S,Kerala,10.4267,76.2167
IN/680631,Ramavarmapuram,Kerala,10.4267,76.2167
IN/680651,Madakkathara B.O,Kerala,10.4267,76.2167
IN/680655,Ollukara,Kerala,10.4267,76.2167
IN/680661,Nadavaramba,Kerala,10.4267,76.2167
IN/680666,Madavana B.O,Kerala,10.4267,76.2167
IN/680668,Santhipuram B.O,Kerala,10.4267,76.2167
IN/680671,Padinjare Vemballur B.O,Kerala,10.4267,76.2167
IN/680681,Chalingad B.O,Kerala,10.4267,76.2167
IN/680686,Chakkarapadam B.O,Kerala,10.4267,76.2167
IN/680687,Chamakkala B.O,Kerala,10.4267,76.2167
IN/680695,Padiyam B.O,Kerala,10.4267,76.2167
